POCO;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;DHA_ATUALIZACAO
9-RO-169D-RJS;74281029612;Petrobras;9RO169DRJS;RJ;Campos; ;RO;RONCADOR;M;S;9;Especial;ABANDONADO POR OUTRAS RAZÕES;ABANDONADO PERMANENTEMENTE;08/07/2020;08/08/2020;14/08/2020;-21:53:13,273;-39:46:46,303;-21,88702028;-39,77952861;SIRGAS2000;Definitiva;Direcional;-3224,1;3646;3646;MR;32;0;1555;NM; ;Campos;Ubatuba;Tamoios;Existe; ; ; ;Existe;Existe; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;SS-79;LONE STAR;02/01/2022
9-MLL-85D-RJS;74281029527;Petrobras;9MLL85DRJS;RJ;Campos; ;MLL;MARLIM LESTE;M;S;9;Especial;ABANDONADO POR OUTRAS RAZÕES;EM PERFURAÇÃO;09/01/2020;02/02/2020;06/02/2020;-22:27:47,016;-39:58:09,470;-22,46306;-39,96929722;SIRGAS2000;Definitiva;Direcional;-2708,3;3499;3499;MR;32;0;1114;NM; ;Campos;Carapebus; ;Existe; ; ; ; ;Existe; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;NS-33;NORBE IX;02/01/2022
7-SEP-6-RJS;74316029528;Petrobras;7SEP6RJS;RJ;Santos; ;SEP;SÉPIA;M;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;03/01/2020;20/05/2020;30/05/2020;-25:15:29,776;-42:32:56,700;-25,25827111;-42,54908333;SIRGAS2000;Definitiva;Vertical;-5471,8;5514;5514;MR;32;0;2118;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ;Existe;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;NS-32;NORBE VIII;02/01/2022
7-ARGO-20H-ESS;34281029535;Shell Brasil;7-ARGO-20H-ESS;ES;Campos;BC-10;ARGO;ARGONAUTA;M;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;16/01/2020;04/02/2020;14/02/2020;-21:12:17,994;-39:52:37,504;-21,20499833;-39,87708444;SIRGAS2000;Definitiva;Horizontal;2902;4449;4449;MR;25;0;1584;NM; ;Campos;Carapebus; ;Existe; ; ; ; ; ; ; ;Existe; ; ; ; ; ; ; ; ; ;NS-45;Brava Star;02/01/2022
7-AZU-2DA-AM;14030029534;Eneva;7AZU2DAAM;AM;Amazonas;AZU;AZU;AZULÃO;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE GÁS NATURAL;FECHADO;18/01/2020;11/02/2020;17/02/2020;-02:44:41,138;-58:11:03,086;-2,744760556;-58,18419056;SIRGAS2000;Definitiva;Direcional;1735,9;2170;2168,5;MR;98;90;0;NM; ;Tapajós;Nova Olinda; ;Existe; ; ;Existe;Existe; ; ; ; ;Existe; ; ;Existe;Existe; ; ; ; ;QG VIII;Queiroz Galvão VIII;02/01/2022
7-FAL-162D-ES;34270029553;Petrobras;7FAL162DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;FECHADO;20/02/2020;27/02/2020;04/07/2020;-19:00:12,354;-39:51:45,054;-19,00343167;-39,862515;SIRGAS2000;Definitiva;Direcional;-871,99;903;892,8;MR;11,34;6,19;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-FAL-163D-ES;34270029572;Petrobras;7FAL163DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;19/03/2020;23/03/2020;06/07/2020;-19:00:13,302;-39:51:44,828;-19,003695;-39,86245222;SIRGAS2000;Definitiva;Direcional;-869;925;923,2;MR;11,39;6,24;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-MLL-86HP-RJS;74281029547;Petrobras;7MLL86HPRJS;RJ;Campos; ;MLL;MARLIM LESTE;M;S;7;Desenvolvimento;ABANDONADO POR OBJETIVO/ALVO NÃO ATINGIDO;ABANDONADO PERMANENTEMENTE;06/02/2020;17/02/2020;23/02/2020;-22:27:47,016;-39:58:09,470;-22,46306;-39,96929722;SIRGAS2000;Definitiva;Horizontal;2733,6;3783;3783;MR;32;0;1114;NM; ;Campos;Carapebus; ;Existe; ; ; ; ;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;NS-33;NORBE IX;02/01/2022
7-MRO-10-RJS;74316029555;Petrobras;7MRO10RJS;RJ;Santos; ;MRO;MERO;M;S;7;Desenvolvimento;ABANDONADO POR OUTRAS RAZÕES;ABANDONADO PERMANENTEMENTE;19/02/2020;26/02/2020;04/03/2020;-24:35:54,727;-42:12:53,748;-24,59853528;-42,21493;SIRGAS2000;Definitiva;Vertical;-2931;2956;2956;MR;25;0;1997;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ; ;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;NS-40;Deepwater Corcovado;02/01/2022
1-ENV-16D-MA;50090029646;Eneva;1ENVBL67AMA;MA;Parnaíba;PN-T-67A; ; ;T;S;1;Pioneiro; ;ARRASADO;23/10/2020;03/11/2020;07/11/2020;-04:40:25,751;-44:59:50,035;-4,673819722;-44,99723194;SIRGAS2000;Definitiva;Direcional;1984,6;2447;2148;MR;92;86;0;NM; ;Canindé;Cabeças; ;Existe; ; ;Existe;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
7-NFC-51D-BA;20240029644;PetroRecôncavo;7NFC51DBA;BA;Recôncavo; ;NFC;NORTE DE FAZENDA CARUAÇU;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;30/10/2020;04/11/2020;20/12/2020;-12:32:53,147;-38:28:18,048;-12,54809639;-38,47168;SIRGAS2000;Definitiva;Direcional;-1039,08;1139;1128,6;MR;60,57;55,39;0;NM; ;Ilhas;Pojuca; ;Existe; ; ; ;Existe; ; ;Existe; ;Existe; ; ;Existe; ; ; ; ; ;PR-04;National Oilwell Varco - 750;02/01/2022
8-BUZ-38D-RJS;74316029637;Petrobras;8BUZ38DRJS;RJ;Santos;FRANCO;BUZ;BÚZIOS;M;S;8;Injeção;INJEÇÃO DE ÁGUA;EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO;01/10/2020;05/11/2020;04/12/2020;-24:39:14,799;-42:27:01,187;-24,65411083;-42,45032972;SIRGAS2000;Definitiva;Direcional;-5987,45;6063;6063;MR;32;0;2001;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ;Existe;Existe; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;NS-38;ETESCO TAKATSUGU J;02/01/2022
7-CNC-49-ES;34270029652;Petrobras;7CNC49ES;ES;Espírito Santo; ;CNC;CANCÃ;T;S;7;Desenvolvimento;ABANDONADO POR OUTRAS RAZÕES;ABANDONADO PERMANENTEMENTE;01/12/2020;07/12/2020;18/12/2020;-19:13:49,476;-39:50:43,959;-19,23041;-39,84554417;SIRGAS2000;Definitiva;Vertical;-704,37;713;713;MR;8,63;3,48;0;NM; ;Barra Nova;São Mateus; ;Existe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;EBS-08;EBS-08;02/01/2022
7-TIE-2DA-BA;20240029639;Maha Energy;7TIE2DABA;BA;Recôncavo; ;TIE;TIÊ;T;S;7;Desenvolvimento;INDEFINIDO;ABANDONADO PERMANENTEMENTE;03/09/2020;16/10/2020;06/12/2020;-12:21:43,450;-38:16:45,337;-12,36206944;-38,27926028;SIRGAS2000;Definitiva;Direcional;1377,82;1467,6;1467,6;MR;87,38;79,53;0;NM; ;Brotas;Sergi; ;Existe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;FV-2;FAXE-2;02/01/2022
3-ENV-17D-MA;50090029650;Eneva;3ENVSEENV15DMA;MA;Parnaíba;PN-T-102A;GVBL;GAVIÃO BELO;T;S;3;Extensão; ;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;25/11/2020;02/12/2020;06/12/2020;-05:42:42,194;-44:06:33,699;-5,711720556;-44,10936083;SIRGAS2000;Definitiva;Direcional;1356,6;1690;1688,5;MR;188;182;0;NM; ;Canindé;Cabeças; ;Existe; ;Existe;Existe;Existe; ; ;Existe; ;Existe; ; ;Existe;Existe; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
